area,preco
162.32524516199774,323935.05693985726
381.2714364357681,1358280.9274062507
298.1576978883339,879210.5194008282
247.4902239948739,641747.7985782647
79.28708336812588,133619.25576829314
79.277917727757,133275.6317485266
42.07177262391579,80149.00155769064
349.14693539447535,1161050.3419119625
248.42370446241935,644630.060260493
289.06757956249726,831604.7108278605
27.82210783240493,73873.6908070071
388.5657438215578,1415004.5173264907
336.3282035041603,1087722.6202726893
100.68886205774494,169547.3646208008
89.09348753869824,148859.75857010396
89.69371374430484,149518.6780136191
135.61205232462433,254720.35214201277
219.40744402025038,523439.23804932676
184.139107084004,392718.43367843033
130.66707327525592,244529.2236721385
252.5040999945042,661216.1291046389
73.0076670477759,124150.54142908826
131.0149664433829,237900.67851230482
159.21750045160286,317578.04666432395
193.30659400247364,427195.4818531164
318.36686532934516,982537.4857725168
95.8760372201767,167933.95632381027
215.4090865971724,511244.1647306616
245.11753616757613,627516.2808134964
37.65115683359913,73094.53039933831
250.86704372254658,654863.6913391501
84.79916700117079,141706.94969145113
44.71960533440622,84953.5937895726
380.57650415626665,1361513.1379775275
386.94017256833257,1404076.3691729389
327.19099228425523,1041649.877467522
135.75323228588087,253437.12313825294
57.11540332242587,95794.54920570753
280.0085500746196,793329.4135071114
187.2579476210485,410349.334316863
66.37452924101595,121250.60695567448
208.16722584228268,476565.1595561696
33.06763802378299,72703.45072473954
365.54175278993716,1258936.5892683242
118.33639300800643,211022.019953503
271.7584680545132,747880.1060019919
138.45020891397616,264498.10373665445
217.6258480475681,513614.5722163571
227.74990615044626,550992.5713585734
90.24469309970027,149836.92307904526
388.44215855053227,1406548.8844217362
314.5504728772235,969609.4874126908
377.0095977943919,1331698.484611701
360.03439316250655,1231097.2440877068
247.20199194821237,631517.9599050288
370.3122093087844,1294213.0492151275
53.62715077972941,99387.96518532003
94.47348771927517,160273.25781676974
37.18636978600446,73346.6758823987
143.62552569004043,272382.93284712266
167.69737008200318,342112.26210829726
123.11263207408045,221916.7052768256
334.9202534777331,1077240.1358179627
155.56626414356393,307611.1077956484
126.75511368120469,221123.74133235455
226.2245116001344,548020.3881727172
73.55120549040981,121233.89930154922
324.8348526865351,1025975.3737118915
48.32924459831291,88085.31746490423
